558340	DSName	XSec	FiltEff	kFactor
308486	Pythia8EvtGen_A14NNPDF23LO_Wprime500_Zprime250	30.221	1	1
308487	Pythia8EvtGen_A14NNPDF23LO_Wprime750_Zprime500	4.5972	1	1
308488	Pythia8EvtGen_A14NNPDF23LO_Wprime1250_Zprime1000	0.34653	1	1
308489	Pythia8EvtGen_A14NNPDF23LO_Wprime2250_Zprime2000	0.010872	1	1
309454	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth150	0.99895	1	1
309455	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth220	0.20336	1	1
309457	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth500	0.0049359	1	1
309459	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth1000	0.00015554	1	1
309460	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth2000	2.95E-06	1	1
309461	Pythia8EvtGen_A14NNPDF23LO_Zp_ee_ZeroWidth3000	1.74E-07	1	1
309465	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth150	1.0004	1	1
309467	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth350	0.027077	1	1
309468	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth500	0.004935	1	1
309469	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth750	0.00067765	1	1
309470	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth1000	0.00015595	1	1
309474	Pythia8EvtGen_A14NNPDF23LO_Zp_mm_ZeroWidth5000	1.51E-09	1	1
310191	aMcAtNloPy8EG_A14N30NLO_LQd_el_ld_0p3_beta_0p5_hnd_1p0_M300	7.9615	1	1
310194	aMcAtNloPy8EG_A14N30NLO_LQu_mu_ld_0p3_beta_0p5_hnd_1p0_M300	7.962	1	1
310207	aMcAtNloPy8EG_A14N30NLO_LQd_el_ld_0p3_beta_0p5_hnd_1p0_M1700	6.10E-05	1	1
310780	MGPy8EG_A14NNPDF23LO_DMsimp_A1_WZprime250	1.465	1	1
310781	MGPy8EG_A14NNPDF23LO_DMsimp_A1_WZprime500	0.32208	1	1
310782	MGPy8EG_A14NNPDF23LO_DMsimp_A1_WZprime1000	0.044128	1	1
310783	MGPy8EG_A14NNPDF23LO_DMsimp_A1_WZprime2000	0.0026949	1	1
310908	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH400NW_ee	6.3575	1	1
310912	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH400W5pc_ee	5.9998	1	1
310913	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH400W10pc_ee	5.6263	1	1
310914	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH400W15pc_ee	5.2882	1	1
310915	PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH400W20pc_ee	5.001	1	1
311309	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_ltlow	0.00011277	1	1
311310	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS5_lthigh	0.00011277	1	1
311311	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS15	0.000119	1	1
311312	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_ltlow	0.0001474	1	1
311313	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS35_lthigh	0.0001474	1	1
311314	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_ltlow	0.00016037	1	1
311315	MadGraphPythia8EvtGen_A14NNPDF31LO_HSS_LLP_mH125_mS55_lthigh	0.00016037	1	1
311417	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS5	0.0030976	1	1
311418	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH60_mS15	0.0038668	1	1
311419	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH200_mS50	2.20E-25	1	1
311420	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH400_mS100	1.00E-27	1	1
311421	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS50			
311422	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_ltlow			
311423	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS150_lthigh			
311424	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH600_mS275			
311425	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS50			
311426	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_ltlow			
311427	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS275_lthigh			
311428	MGPy8EG_A14NNPDF23_NNPDF31ME_HSS_LLP_mH1000_mS475	3.08E-23	1	1
312117	aMcAtNloPy8EG_A14N30NLO_LQu_el_ld_0p3_beta_0p5_hnd_1p0_M400	2.15	1	1
312137	aMcAtNloPy8EG_A14N30NLO_LQu_el_ld_0p3_beta_0p5_hnd_1p0_M2000	1.48E-05	1	1
312142	aMcAtNloPy8EG_A14N30NLO_LQu_mu_ld_0p3_beta_0p5_hnd_1p0_M850	0.0216	1	1
312159	aMcAtNloPy8EG_A14N30NLO_LQd_el_ld_0p3_beta_0p5_hnd_1p0_M400	2.15	1	1
312256	aMcAtNloPy8EG_A14N30NLO_LQd_mu_ld_0p3_beta_0p5_2ndG_M600	0.16539	1	1
312260	aMcAtNloPy8EG_A14N30NLO_LQd_mu_ld_0p3_beta_0p5_2ndG_M700	0.063374	1	1
