path,act.lumi(fb-1),eff.lumi(fb-1),first_run,last_run,menu_version,dataset,year
HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p85_DoublePFJetsC160_v,2.51,0.0,254790,260627,,BTagCSV,2015
HLT_DoubleJetsC100_DoubleBTagCSV0p9_DoublePFJetsC100MaxDeta1p6_v,2.51,0.0,254790,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p85_DoublePFJetsC172_v,2.51,0.0,254790,260627,,BTagCSV,2015
HLT_DoubleJetsC112_DoubleBTagCSV0p9_DoublePFJetsC112MaxDeta1p6_v,2.51,0.0,254790,260627,,BTagCSV,2015
HLT_QuadJet45_DoubleBTagCSV0p67_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_QuadJet45_TripleBTagCSV0p67_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq460_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_QuadPFJet_SingleBTagCSV_VBF_Mqq500_v,2.51,0.0,254231,260627,,BTagCSV,2015
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_0p4_Mbb60_200_v,0.87,0.0,259637,260627,,BTagCSV,2015
HLT_Rsq0p02_MR300_TriPFJet80_60_40_DoublePFBTagCSV0p7_Mbb60_200_v,0.87,0.0,259637,260627,,BTagCSV,2015
HLT_BTagMu_DiJet110_Mu5_v,2.51,0.0,254231,260627,,BTagMu,2015
HLT_BTagMu_DiJet20_Mu5_v,2.51,0.0,254231,260627,,BTagMu,2015
HLT_BTagMu_DiJet40_Mu5_v,2.51,0.0,254231,260627,,BTagMu,2015
HLT_BTagMu_DiJet70_Mu5_v,2.51,0.0,254231,260627,,BTagMu,2015
HLT_BTagMu_Jet300_Mu5_v,2.51,0.0,254231,260627,,BTagMu,2015
HLT_Dimuon0_Jpsi_Muon_v,2.51,0.0,254231,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoOS_NoVertexing_v,2.51,0.0,254231,260627,,Charmonium,2015
HLT_Dimuon0er16_Jpsi_NoVertexing_v,2.51,0.0,254231,260627,,Charmonium,2015
HLT_Dimuon10_Jpsi_Barrel_v,2.51,0.0,254231,260627,,Charmonium,2015
HLT_Dimuon13_PsiPrime_v,2.51,0.0,254231,260627,,Charmonium,2015
