Run2015A, 247607, 250932, no, pp-0T, "data taken at 0T including commissioning runs and low-PU runs for FSQ physics."
Run2015B, 250985, 253620, no, pp-0T, "data taken at 0T and 3.8T. The first run with 3.8T magnetic field was 250985. The first run with trigger menu for 50 ns collisions was 251168."
Run2015C, 253659, 256464, no, pp-phys, "range 254227-255031 excluding run 254833 that was taken with the 50ns condition."
Run2015D, 256630, 260627, yes, pp-phys, "range 256630-260627. Run 259152-259431 are special runs taken for CMS/TOTEM"
Run2016A, 271036, 271658, no, pp-0T, "data taken at 0T including commissioning runs", https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016B, 272007, 275376, no, pp-phys, "Run2016B has two sets of RAW data containing disjoint sets of runs. This is reflected in the strings ver1 and ver2. This means both should be included in the analysis.",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016C, 275657, 276283, no, pp-phys, "pre-VFP - reconstructed with a reconstruction including HIP mitigation",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016D, 276315, 276811, no, pp-phys, "pre-VFP - reconstructed with a reconstruction including HIP mitigation",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016E, 276831, 277420, no, pp-phys, "pre-VFP - reconstructed with a reconstruction including HIP mitigation"https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016F, 277772, 278808, no, pp-phys, "pre-VFP - reconstructed with a reconstruction including HIP mitigation and post-VFP with the default track reconstruction runs 278769 278801 278802 278803 278804 278805 278808",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016G, 278820, 280385, no, pp-phys, "pp-phys, "post-VFP with the default track reconstruction",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2016H, 280919, 284044, no, pp-phys, "pp-phys, "post-VFP with the default track reconstruction",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDatasetsUL2016
Run2017A, 294927, 297019, no, pp-0lum, "",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017B, 297046, 299329, no, pp-phys, "",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017C, 299368, 302029, no, pp-phys, "Includes low PU runs 299996 300018 300027 300043 300088", https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017D, 302030, 303434, no, pp-phys, "",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017E, 303824, 304797, no, pp-phys, "",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017F, 305040, 306462, no, pp-phys, "",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017G, 306472, 306826, no, pp-5TeV, "Era Run2017G is the 5 TeV Run",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2017H, 306896, 307082, no, pp-lowpu, "Era Run2017H is low PU",https://twiki.cern.ch/twiki/bin/view/CMS/PdmVDataReprocessingUL2017
Run2018A, 315252, 316995, no, pp-phys,"",https://twiki.cern.ch/twiki/bin/viewauth/CMS/PdmVDataReprocessingUL2018
Run2018B, 317080, 319310, no, pp-phys,"",https://twiki.cern.ch/twiki/bin/viewauth/CMS/PdmVDataReprocessingUL2018
Run2018C, 319337, 320065, no, pp-phys,"",https://twiki.cern.ch/twiki/bin/viewauth/CMS/PdmVDataReprocessingUL2018
Run2018D, 320673, 325175, no, pp-phys,"",https://twiki.cern.ch/twiki/bin/viewauth/CMS/PdmVDataReprocessingUL2018
